AdjustSTS	cpu_adjust_sts
ndx_server_stop	debugger_ndx_server_stop
ndx_server_terminate	debugger_ndx_server_terminate
phys_watchpoint_add	bkpt_phys_watchpoint_add
phys_watchpoint_check	bkpt_phys_watchpoint_check
phys_watchpoint_clear	bkpt_phys_watchpoint_clear
phys_watchpoint_get	bkpt_phys_watchpoint_get
phys_watchpoint_get_count	bkpt_phys_watchpoint_get_count
phys_watchpoint_remove	bkpt_phys_watchpoint_remove
program_load	machine_program_load
rdiv_org	cpu_rdiv_org
read_key_event	kbd_read_key_event
ring_dump	cpu_ring_dump
rmpy_org	cpu_rmpy_org
scsi_get_u16be	scsi_device_scsi_get_u16_be
scsi_get_u24be	scsi_device_scsi_get_u24_be
scsi_get_u32be	scsi_device_scsi_get_u32_be
scsi_put_u16be	scsi_device_scsi_put_u16_be
scsi_put_u24be	scsi_device_scsi_put_u24_be
scsi_put_u32be	scsi_device_scsi_put_u32_be
setPEA	cpu_set_pea
setPES	cpu_set_pes
setPGS	cpu_set_pgs
setPIL	cpu_set_pil
set_cpu_run_mode	cpu_set_run_mode
set_cpu_stop_reason	cpu_set_stop_reason
set_debugger_control_granted	cpu_set_debugger_control_granted
set_debugger_request_pause	cpu_set_debugger_request_pause
setbit	cpu_setbit
setbit_STS_MSB	cpu_setbit_sts_msb
setcbreak	ndlib_setcbreak
setdefaultconfig	machine_setdefaultconfig
setreg	cpu_setreg
setup_pap	panel_setup_pap
signExtend	cpu_sign_extend
start_debugger	debugger_start
step_cpu	debugger_step_cpu
stop_debugger_thread	debugger_stop_thread
sub_A_mem	cpu_sub_a_mem
unmount_drive	machine_unmount_drive
unsetcbreak	ndlib_unsetcbreak
update_stack_frame	debugger_update_stack_frame
watchpoint_add	bkpt_watchpoint_add
watchpoint_check	bkpt_watchpoint_check
watchpoint_check_slow	bkpt_watchpoint_check_slow
watchpoint_clear	bkpt_watchpoint_clear
watchpoint_get	bkpt_watchpoint_get
watchpoint_get_count	bkpt_watchpoint_get_count
watchpoint_remove	bkpt_watchpoint_remove
